,都道府県名,Under15,15~64,65andOver,difference
1,北海道,10.8,57.4,31.9,21.1
2,青森県,10.7,56.1,33.3,22.6
3,岩手県,11.1,55.8,33.1,22
4,宮城県,11.8,59.9,28.3,16.5
5,秋田県,9.8,53,37.2,27.4
6,山形県,11.4,55.1,33.4,22
7,福島県,11.4,57.1,31.5,20.1
8,茨城県,11.9,58.6,29.5,17.6
9,栃木県,12.1,59.2,28.6,16.5
10,群馬県,11.9,58.2,29.8,17.9
11,埼玉県,12,61.3,26.7,14.7
12,千葉県,11.8,60.3,27.9,16.1
13,東京都,11.2,65.8,23.1,11.9
14,神奈川県,11.9,62.7,25.3,13.4
15,新潟県,11.4,56.2,32.4,21
16,富山県,11.4,56.3,32.3,20.9
17,石川県,12.3,58.1,29.6,17.3
18,福井県,12.6,56.7,30.6,18
19,山梨県,11.7,57.5,30.8,19.1
20,長野県,12.2,55.9,31.9,19.7
21,岐阜県,12.5,57.4,30.1,17.6
22,静岡県,12.3,57.8,29.9,17.6
23,愛知県,13.1,61.8,25.1,12
24,三重県,12.2,58,29.7,17.5
25,滋賀県,13.8,60.2,26,12.2
26,京都府,11.6,59.3,29.1,17.5
27,大阪府,11.8,60.5,27.6,15.8
28,兵庫県,12.3,58.6,29.1,16.8
29,奈良県,11.9,56.8,31.3,19.4
30,和歌山県,11.6,55.3,33.1,21.5
31,鳥取県,12.5,55.4,32.1,19.6
32,島根県,12.3,53.4,34.3,22
33,岡山県,12.5,57.1,30.3,17.8
34,広島県,12.8,57.9,29.3,16.5
35,山口県,11.6,54.1,34.3,22.7
36,徳島県,11.2,55.2,33.6,22.4
37,香川県,12.2,56,31.8,19.6
38,愛媛県,11.8,55.1,33,21.2
39,高知県,11.1,53.7,35.2,24.1
40,福岡県,13.1,58.9,27.9,14.8
41,佐賀県,13.5,56.2,30.3,16.8
42,長崎県,12.7,54.7,32.7,20
43,熊本県,13.3,55.6,31.1,17.8
44,大分県,12.2,54.9,32.9,20.7
45,宮崎県,13.3,54.5,32.3,19
46,鹿児島県,13.3,54.8,32,18.7
47,沖縄県,16.9,60.9,22.2,5.3